".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.FECErrors",,,,"unsignedInt","-","O","S N",,"Number of FEC errors detected during the current quarter hour (FEC-C as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.ATUCFECErrors",,,,"unsignedInt","-","O","S N",,"Number of FEC errors detected by the ATU-C during the current quarter hour (FEC-CFE as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.HECErrors",,,,"unsignedInt","-","O","S N",,"Number of HEC errors detected during the current quarter hour (HEC-P as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.ATUCHECErrors",,,,"unsignedInt","-","O","S N",,"Number of HEC errors detected by the ATU-C during the current quarter hour (HEC-PFE as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.CRCErrors",,,,"unsignedInt","-","O","S N",,"Number of CRC errors detected during the current quarter hour (CV-C as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANDSLInterfaceConfig.Stats.QuarterHour.ATUCCRCErrors",,,,"unsignedInt","-","O","S N",,"Number of CRC errors detected by the ATU-C during the current quarter hour (CV-CFE as defined in ITU-T Rec. G.997.1)."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.","EthCfg",,,"object","-","C",,,"This object models physical layer properties specific to a single Ethernet physical connection used for Internet access on a CPE.  This object is required for a CPE with an Ethernet WAN interface, and is exclusive of any other WAN*InterfaceﾭConfig object within a given WANﾭDevice instance.  Note that this object is not related to the Ethernet protocol layer sometimes used in associated with a DSL connection."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Enable",,,,"boolean","C","C",,"wan_reconf","Enables or disables this interface."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Status",,,,"enum(Up,NoLink,Error,Disabled)","-","C","S",,"Indicates the status of this interface.  Enumeration of:
""Up""
""NoLink""
""Error""
""Disabled"""
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.MACAddress",,,,"string","-","C","S",,"The physical address of the interface."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.MaxBitRate",,,,"enum(10,100,Auto)","C","C",,,"The maximum upstream and downstream bit rate available to this connection.  Enumeration of:
""10""
""100""
""Auto"""
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.DuplexMode",,,,"enum(Half,Full,Auto)","C","C",,,"The duplex mode available to this connection.  Enumeration of:
""Half""
""Full""
""Auto"""
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Stats.","Stats",,,"object","-","C","S",,"This object contains statistics for an Ethernet WAN interface on a CPE device."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Stats.BytesSent",,1,0,"unsignedInt","-","C","S N",,"Total number of bytes sent over the interface since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Stats.BytesReceived",,1,0,"unsignedInt","-","C","S N",,"Total number of bytes received over the interface since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Stats.PacketsSent",,1,0,"unsignedInt","-","C","S N",,"Total number of packets sent over the interface since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANEthernetInterfaceConfig.Stats.PacketsReceived",,1,0,"unsignedInt","-","C","S N",,"Total number of packets received over the interface since the CPE was last reset."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.","DSLConnMgt",,,"object","-","S",,,"This object is required for a CPE with a DSL modem WAN interface"
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionServiceNumberOfEntries",,"count(ConnectionService)",,"unsignedInt","-","R",,,"Number of table entries in the ConnectionﾭService table."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.","ConSrv",,,,,,"S",,
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.",,,,"object","-","C","S",,"This table contains an entry for each connection service."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.WANConnectionDevice",,,,"selector","-","R","S",,"Specifies a WAN connection device object associated with this connection instance.  The content is the full hierarchical parameter name of the WAN connection device.  Example: ""InternetﾭGatewayﾭDevice.ﾭWANﾭDevice.ﾭ1.ﾭWANﾭConnectionﾭDevice.ﾭ2""."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.WANConnectionService",,,,"selector","-","R","S",,"Specifies a WAN connection object associated with this connection instance.  The content is the full hierarchical parameter name of the layer-3 connection object.  Example: ""InternetﾭGatewayﾭDevice.ﾭWANﾭDevice.ﾭ1.ﾭWANﾭConnectionﾭDevice.ﾭ2.ﾭWANﾭPPPﾭConnection.ﾭ1""."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.DestinationAddress",,,,"string(256)","-","R","S",,"Destination address of the WANConnectionDevice entry.  One of:
PVC:ﾠVPI/VCI
SVC:ﾠATMﾠconnectionﾠname
SVC:ﾠATMﾠaddress"
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.LinkType",,,,"string","-","R","S",,"Link Type of the WANConnectionDevice entry.  One of Link Types as described in WANDSLLinkConfig"
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.ConnectionType",,,,"string","-","R","S",,"Connection Type of the WANPPPConnection or WANIPConnection entry. One of PossibleConnectionTypes as described in WAN**Connection service."
".InternetGatewayDevice.WANDevice.{i}.WANDSLConnectionManagement.ConnectionService.{i}.Name",,,,"string(32)","-","-","S",,"User-readable name of the connection."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.","DSLDiag",,,"object","-","C","S",,"This object is required for a CPE with an ADSL2 or ADSL2+ modem WAN interface, and optional otherwise."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.LoopDiagnosticsState",,,,"enum(None,Requested,Complete)","C","C","S N",,"Indicates availability of diagnostic data.  One of:
""None""
""Requested""
""Complete""
Value may be set to Requested to initiate the diagnostic test, which brings down the DSL connection while the test is operating.  When writing, the only allowed value is Requested.
When requested, the CPE SHOULD wait until after completion of the communication session with the ACS before starting the diagnostic.
When the diagnostic initiated by the ACS is completed, the CPE MUST establish a new connection to the ACS to allow the ACS to view the results, indicating the corresponding reason in the Inform message."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.ACTPSDds",,,,"int","-","C","S N",,"Downstream actual power spectral density.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.ACTPSDus",,,,"int","-","C","S N",,"Upstream actual power spectral density.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.ACTATPds",,,,"int","-","C","S N",,"Downstream actual aggregate transmitter power.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.ACTATPus",,,,"int","-","C","S N",,"Upstream actual aggregate transmitter power.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.HLINSCds",,,,"int","-","C","S N",,"Downstream linear representation scale.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.HLINpsds",,,,"string","-","C","S N",,"Downstream linear channel characteristics per subcarrier.  Comma-separated list of integers.  Each successive pair of integers represents the real and imaginary parts of each complex value.  Maximum number of complex pairs is 256 for ADSL and ADSL2, 512 for ADSL2+.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.QLNpsds",,,,"string","-","C","S N",,"Downstream quiet line noise per subcarrier.  Comma-separated list of integers.  Maximum number of elements is 256 for ADSL and ADSL2, 512 for ADSL2+.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.SNRpsds",,,,"string","-","C","S N",,"Downstream SNR per subcarrier.  Comma-separated list of integers.  Maximum number of elements is 256 for ADSL and ADSL2, 512 for ADSL2+.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.BITSpsds",,,,"string","-","C","S N",,"Downstream bit allocation per subcarrier.    Comma-separated list of integers.  Maximum number of elements is 256 for ADSL and ADSL2, 512 for ADSL2+.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANDSLDiagnostics.GAINSpsds",,,,"string","-","C","S N",,"Downstream gain allocation per subcarrier.    Comma-separated list of integers.  Maximum number of elements is 256 for ADSL and ADSL2, 512 for ADSL2+.  Interpretation of the value is as defined in ITU-T Rec. G.997.1."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.","ConDev",,,,,,,,
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.",,,,"object","C","C",,,"Each instance contains objects associated with a given WAN link.  In this case of DSL, each instance corresponds to a single ATM VC.  On creation of a WANﾭConnectionﾭDevice instance, there are initially no connection objects contained within."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnectionNumberOfEntries",,"count(WANIPConnection)",,"unsignedInt","-","C",,,"Number of instances of WANﾭIPﾭConnection in this WANﾭConnectionﾭDevice."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnectionNumberOfEntries",,"count(WANPPPConnection)",,"unsignedInt","-","C",,,"Number of instances of WANﾭPPPﾭConnection in this WANﾭConnectionﾭDevice."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.","DSLLnkCfg",,,"object","-","C",,,"This object models the ATM layer properties specific to a single physical connection of a DSL modem used for Internet access on a CPE.  This object is required for a CPE with a DSL modem WAN interface, and is exclusive of any other WAN*LinkﾭConfig object within a given WANﾭConnectionﾭDevice instance."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.Enable",,,,"boolean","C","C",,,"Enables or disables the link.  On creation of a WANﾭConnectionﾭDevice, this object is disabled by default."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.LinkStatus",,1,,"enum(Up,Down,Initializing,Unavailable)","-","C","S",,"Status of the link.  Enumeration of:
""Up""
""Down""
""Initializing""
""Unavailable"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.LinkType",,,,"enum(EoA,IPoA,PPPoA,PPPoE,CIP,Unconfigured)","C","C",,,"Indicates the type of DSL connection and refers to the complete stack of protocol used for this connection.  Enumeration of:
""EoA"" (RFC2684 bridged Ethernet over ATM)
""IPoA"" (RFC2684 routed IP over ATM)
""PPPoA"" (RFC2364 PPP over ATM)
""PPPoE"" (RFC2516 PPP over Ethernet on RFC2684 bridged Ethernet over ATM)
""CIP"" (RFC1577 Classical IP over ATM)
""Unconfigured"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.AutoConfig",,,,"boolean","-","C","S",,"Indicates if the CPE is currently using some auto configuration mechanisms for this connection.  If this variable is TRUE, all writable variables in this connection instance become read-only. Any attempt to change one of these variables SHOULD fail and an error should be returned."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ModulationType",,1,,"enum(ADSL_G.dmt,ADSL_G.lite,ADSL_G.dmt.bis,ADSL_re-adsl,ADSL_2plus,ADLS_four,ADSL_ANSI_T1.413,G.shdsl,IDSL,HDSL,SDSL,VDSL)","-","O","S",,"Indicates the type of DSL modulation used on the interface associated with this connection (duplication from WANDSLInterfaceConfig).  Enumeration of:
""ADSL_G.dmt""
""ADSL_G.lite""
""ADSL_G.dmt.bis""
""ADSL_re-adsl""
""ADSL_2plus""
""ADLS_four""
""ADSL_ANSI_T1.413""
""G.shdsl""
""IDSL""
""HDSL""
""SDSL""
""VDSL"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.DestinationAddress",,,,"string(256)","C","C",,,"Destination address of this link.  One of:
PVC:ﾠVPI/VCI
SVC:ﾠATMﾠconnectionﾠname
SVC:ﾠATMﾠaddress"
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMEncapsulation",,,,"enum(LLC,VCMUX)","O","O",,,"Identifies the connection encapsulation that will be used.
Enumeration of
""LLC""
""VCMUX"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.FCSPreserved",,,,"boolean","O","O",,,"This flag tells if a checksum should be added in the ATM payload. It does not refer to the checksum of one of the ATM cells or AALX packets. In case of LLC or VCMUX encapsulation, this ATM checksum is the FCS field described in RFC 1483. It is only applicable in the upstream direction."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.VCSearchList",,,,"string","O","O",,,"Comma separated ordered list of VPI/VCI pairs to search if a link using the DestinationAddress cannot be established.  In the form:
VPI1/VCI1, VPI2/VCI2,  ?
Example:
""0/35, 8/35, 1/35"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMAAL",,,,"enum(AAL1,AAL2,AAL3,AAL4,AAL5)","-","O","S",,"Describes the ATM Adaptation Layer (AAL) currently in use on the PVC.  Enumeration of:
""AAL1""
""AAL2""
""AAL3""
""AAL4""
""AAL5"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMTransmittedBlocks",,,,"unsignedInt","-","C","S N",,"The current count of successfully transmitted blocks."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMReceivedBlocks",,,,"unsignedInt","-","C","S N",,"The current count of successfully received blocks."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMQoS",,,,"enum(UBR,CBR,GFR,VBR-nrt,VBR-rt,UBR+,ABR)","O","O",,,"Describes the ATM Quality Of Service (QoS) being used on the VC.  Enumeration of:
""UBR""
""CBR""
""GFR""
""VBR-nrt""
""VBR-rt""
""UBR+""
""ABR"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMPeakCellRate",,,,"unsignedInt","O","O",,,"Specifies the upstream peak cell rate in cells per second."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMMaximumBurstSize",,,,"unsignedInt","O","O",,,"Specifies the upstream maximum burst size in cells."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMSustainableCellRate",,,,"unsignedInt","O","O",,,"Specifies the upstream sustainable cell rate, in cells per second, used for traffic shaping."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.AAL5CRCErrors",,,,"unsignedInt","-","C","S N",,"Count of the AAL5 layer cyclic redundancy check errors."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMCRCErrors",,,,"unsignedInt","-","C","S N",,"Count of the ATM layer cyclic redundancy check errors."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANDSLLinkConfig.ATMHECErrors",,,,"unsignedInt","-","O","S N",,"Count of the number of Header Error Check related errors at the ATM layer."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.","ATMLpbDiag",,,"object","-","O","S",,"This object is provides access to an ATM-layer F5 OAM loopback test."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.DiagnosticsState",,,,"enum(None,Requested,Complete)","C","C","S N",,"Indicates availability of diagnostic data.  One of:
""None""
""Requested""
""Complete""
Value may be set to Requested to initiate the diagnostic test.  When writing, the only allowed value is Requested.  To ensure the use of the proper test parameters (the writable parameters in this object), the test parameters MUST be set either prior to or at the same time as (in the same SetParameterValues) setting the DiagnosticState to Requested.
When requested, the CPE SHOULD wait until after completion of the communication session with the ACS before starting the diagnostic.
When the diagnostic initiated by the ACS is completed (successfully or not), the CPE MUST establish a new connection to the ACS to allow the ACS to view the results, indicating the Event code ""8 DIAGNOSTICS COMPLETE"" in the Inform message."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.NumberOfRepetitions",,,,"unsignedInt[1:]","C","C","S",,"Number of repetitions of the ping test to perform before reporting the results."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.Timeout",,,,"unsignedInt[1:]","C","C","S",,"Timeout in milliseconds for the ping test."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.SuccessCount",,,,"unsignedInt","-","C","S N",,"Result parameter indicating the number of successful pings (those in which a successful response was received prior to the timeout) in the most recent ping test."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.FailureCount",,,,"unsignedInt","-","C","S N",,"Result parameter indicating the number of failed pings in the most recent ping test."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.AverageResponseTime",,,,"unsignedInt","-","C","S N",,"Result parameter indicating the average response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.MinimumResponseTime",,,,"unsignedInt","-","C","S N",,"Result parameter indicating the minimum response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANATMF5LoopbackDiagnostics.MaximumResponseTime",,,,"unsignedInt","-","C","S N",,"Result parameter indicating the maximum response time in milliseconds over all repetitions with successful responses of the most recent ping test.  If there were no successful responses, this value MUST be zero."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANEthernetLinkConfig.","EthLnkCfg",,,"object","-","C","S",,"This object models the Ethernet link layer properties specific to a single physical connection used for Internet access on a CPE.  This object is required for a CPE with an Ethernet WAN interface, and is exclusive of any other WAN*LinkﾭConfig object within a given WANﾭConnectionﾭDevice instance.  Note that this object is not related to the Ethernet protocol layer sometimes used in associated with a DSL connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANEthernetLinkConfig.EthernetLinkStatus",,,,"enum(Up,Down,Unavailable)","-","C","S",,"Status of the Ethernet link.  Enumeration of:
""Up""
""Down""
""Unavailable"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.","POTSLnkCfg",,,"object","-","C",,,"This object models the POTS link layer properties specific to a single physical connection used for Internet access on a CPE.  This object is required for a CPE with a POTS WAN interface, and is exclusive of any other WAN*LinkﾭConfig object within a given WANﾭConnectionﾭDevice instance."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.Enable",,,,"boolean","C","C",,,"Enables or disables the link.  On creation of a WANﾭConnectionﾭDevice, this object is disabled by default."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.LinkStatus",,,,"enum(Up,Down,Dialing,Connecting,Unavailable)","-","C","S",,"Status of the link.  Enumeration of:
""Up""
""Down""
""Dialing""
""Connecting""
""Unavailable"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.ISPPhoneNumber",,,,"string(64)","O","C",,,"Specifies a list of strings separated by semicolon (;), each string representing a phone number to connect to a particular ISP. The digits of the phone number follow the semantics of the ITU-T E.164 specification. Delimiters such as brackets or hyphens between the digits of a phone number are to be ignored by the CPE."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.ISPInfo",,,,"string(64)","O","C",,,"Information identifying the Internet Service Provider. The format of the string is vendor specific."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.LinkType",,,,"string","O","C",,,"This variable indicates the type of POTS link used for the dialup connection.  Enumeration of:
""PPP_Dialup"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.NumberOfRetries",,,,"unsignedInt","O","C",,,"The number of times the CPE should attempt an Internet connection setup before returning error."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.DelayBetweenRetries",,,,"unsignedInt","O","C",,,"The number of seconds the CPE should wait between attempts to setup an Internet connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.Fclass",,,,"string","-","O","S",,"Specifies capabilities of the POTS modem - i.e., if it handles data (0), fax (1,2,2.0), voice (8), DSVD (80).  Comma separated list of the following enumeration:
""0""
""1""
""2""
""2.0""
""8""
""80"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.DataModulationSupported",,,,"enum(V92,V90,V34,V32bis,V32)","-","O","S",,"The modulation standard currently being used for data.  Enumeration of:
""V92""
""V90""
""V34""
""V32bis""
""V32"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.DataProtocol",,,,"enum(V42_LAPM,V42_MNP4,V14,V80)","-","O","S",,"The protocol standard currently being used for data transfers.  Enumeration of:
""V42_LAPM""
""V42_MNP4""
""V14""
""V80"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.DataCompression",,,,"enum(V42bis,MNP5)","-","O","S",,"The compression technology implemented on the modem.  Enumeration of:
""V42bis""
""MNP5"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPOTSLinkConfig.PlusVTRCommandSupported",,,,"boolean","-","O","S",,"Capability for full duplex operation with data and voice."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.","IPCon",,,,,,,,
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.",,,,"object","R","R",,,"This object enables configuration of IP connections on the WAN interface of a CPE.  This object is required for all WANConnectionDevices not employing PPP addressing, and must not be active for WANConnectionDevices that do employ PPP addressing."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Enable",,,,"boolean","R","R",,"wan_reconf","Enables or disables the connection instance.  On creation of a WANﾭIPﾭConnection instance, it is initially disabled."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.ConnectionStatus",,,,"enum(Unconfigured,Connecting,Authenticating,Connected,PendingDisconnect,Disconnecting,Disconnected)","-","R","S",,"Current status of the connection.  Enumeration of:
""Unconfigured""
""Connecting""
""Connected""
""PendingDisconnect""
""Disconneting""
""Disconnected"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PossibleConnectionTypes",,,,"string","-","R","S",,"A comma-separated list indicating the types of connections possible for this connection instance.  Each element of the list is an enumeration of:
""Unconfigured""
""IP_Routed""
""IP_Bridged"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.ConnectionType",,,,"enum(Unconfigured,IP_Routed,IP_Bridged)","R","R",,,"Specifies the connection type of the connection instance.  Enumeration of:
""Unconfigured""
""IP_Routed""
""IP_Bridged"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Name",,,,"string(256)","R","R",,,"User-readable name of this connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.Uptime",,,,"unsignedInt","-","R","S N",,"The time in seconds that this connection has been up."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.LastConnectionError",,,,"enum(ERROR_NONE,ERROR_COMMAND_ABORTED,ERROR_NOT_ENABLED_FOR_INTERNET,ERROR_USER_DISCONNECT,ERROR_ISP_DISCONNECT,ERROR_IDLE_DISCONNECT,ERROR_FORCED_DISCONNECT,ERROR_NO_CARRIER,ERROR_IP_CONFIGURATION,ERROR_UNKNOWN)",0,"R","S",,"The cause of failure for the last connection setup attempt.  Enumeration of:
""ERROR_NONE""
""ERROR_COMMAND_ABORTED""
""ERROR_NOT_ENABLED_FOR_INTERNET""
""ERROR_USER_DISCONNECT""
""ERROR_ISP_DISCONNECT""
""ERROR_IDLE_DISCONNECT""
""ERROR_FORCED_DISCONNECT""
""ERROR_NO_CARRIER""
""ERROR_IP_CONFIGURATION""
""ERROR_UNKNOWN"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.AutoDisconnectTime",,,,"unsignedInt","O","O",,,"The time in seconds since the establishment of the connection after which connection termination is automatically initiated by the CPE.  This occurs irrespective of whether the connection is being used or not.  A value of 0 (zero) indicates that the connection is not to be shut down automatically."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.IdleDisconnectTime",,,,"unsignedInt","O","O",,,"The time in seconds that if the connection remains idle, the CPE automatically terminates the connection.  A value of 0 (zero) indicates that the connection is not to be shut down automatically."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.WarnDisconnectDelay",,,,"unsignedInt","O","O",,,"Time in seconds the Status remains in the pending disconnect state before transitioning to disconnecting state to drop the connection."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.RSIPAvailable",,,,"boolean","-","R","S",,"Indicates if Realm-specific IP (RSIP) is available as a feature on the CPE."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.NATEnabled",,,,"boolean","C","R",,"firewall","Indicates if Network Address Translation (NAT) is enabled for this connection.  This parameter MUST be writable if NAT is supported by the CPE."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.AddressingType",,,,"enum(DHCP,Static)","O","R",,"wan_reconf","The method used to assign an address to the WAN side interface of the CPE for this connection.  Enumeration of:
""DHCP""
""Static"""
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.ExternalIPAddress",,1,,"ipv4","O","R","  F","wan_reconf","This is the external IP address used by NAT for this connection.  This parameter is configurable only if the AddressingType is Static."
".InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.SubnetMask",,,,"ipv4","O","R",,"wan_reconf","Subnet mask of the WAN interface.  This parameter is configurable only if the AddressingType is Static."
